dateTime,country,profile,age,gender,referral,pageviews,purchased,purchaseAmount
8/19/2014 12:18,United States,Health Professional,25-34,Female,Unbranded Search,10,0,0
8/20/2014 14:51,United States,Health Professional,25-34,Female,Unbranded Search,4,0,0
8/21/2014 12:52,United States,Health Professional,25-34,Female,Unbranded Search,11,0,0
8/24/2014 21:36,United States,Health Professional,25-34,Female,Unbranded Search,9,0,0
8/27/2014 19:38,United States,Health Professional,25-34,Female,Unbranded Search,1,0,0
8/28/2014 8:32,United States,Health Professional,25-34,Female,Unbranded Search,2,0,0
8/28/2014 19:52,United States,Health Professional,25-34,Female,Unbranded Search,9,0,0
9/2/2014 14:42,United States,Health Professional,25-34,Female,Unbranded Search,9,0,0
9/3/2014 14:28,United States,Health Professional,25-34,Female,Unbranded Search,8,0,0
9/5/2014 0:08,Australia,Health Professional,25-34,Female,Unbranded Search,11,0,0
9/5/2014 10:40,United States,Health Professional,25-34,Female,Unbranded Search,8,0,0
9/9/2014 10:18,Canada,Health Professional,25-34,Female,Unbranded Search,3,0,0
9/10/2014 15:40,United States,Health Professional,25-34,Female,Unbranded Search,11,0,0
8/5/2014 0:38,Australia,Health Professional,35-44,Female,Branded Search,8,1,111.72
8/25/2014 13:53,United States,Health Professional,35-44,Female,Branded Search,4,0,0
7/29/2014 21:41,United States,Health Professional,35-44,Female,Direct,10,0,0
7/30/2014 11:34,United States,Health Professional,35-44,Female,Direct,3,0,0
8/11/2014 14:12,United States,Health Professional,35-44,Female,Direct,12,1,104
8/15/2014 19:42,United States,Health Professional,35-44,Female,Direct,4,0,0
8/18/2014 10:13,United States,Health Professional,35-44,Female,Direct,10,0,0
8/20/2014 14:21,United States,Health Professional,35-44,Female,Direct,11,1,128.17
8/20/2014 16:50,United States,Health Professional,35-44,Female,Direct,2,0,0
8/26/2014 9:06,United States,Health Professional,35-44,Female,Direct,2,0,0
9/5/2014 10:47,United States,Health Professional,35-44,Female,Direct,6,0,0
8/25/2014 13:42,United States,Health Professional,35-44,Female,Email,3,0,0
8/11/2014 22:02,United States,Health Professional,35-44,Female,Social,5,0,0
8/27/2014 17:58,United States,Health Professional,35-44,Female,Social,2,0,0
7/28/2014 9:48,United States,Health Professional,35-44,Female,Unbranded Search,10,0,0
8/4/2014 13:42,United States,Health Professional,35-44,Female,Unbranded Search,10,1,91.4
8/13/2014 0:07,United States,Health Professional,35-44,Female,Unbranded Search,12,0,0
8/22/2014 14:45,United States,Health Professional,35-44,Female,Unbranded Search,3,0,0
8/23/2014 9:15,United States,Health Professional,35-44,Female,Unbranded Search,6,0,0
8/25/2014 23:17,United States,Health Professional,35-44,Female,Unbranded Search,6,0,0
8/27/2014 4:02,United States,Health Professional,35-44,Female,Unbranded Search,11,0,0
9/2/2014 15:45,United States,Health Professional,35-44,Female,Unbranded Search,1,0,0
9/2/2014 16:00,United States,Health Professional,35-44,Female,Unbranded Search,11,0,0
9/4/2014 15:52,United States,Health Professional,35-44,Female,Unbranded Search,3,0,0
9/7/2014 13:35,United States,Health Professional,35-44,Female,Unbranded Search,4,0,0
9/8/2014 21:07,United States,Health Professional,35-44,Female,Unbranded Search,11,0,0
9/9/2014 11:14,United States,Health Professional,35-44,Female,Unbranded Search,8,0,0
9/10/2014 14:32,United States,Health Professional,35-44,Female,Unbranded Search,7,0,0
8/6/2014 11:55,United States,Health Professional,45-54,Female,Branded Search,4,0,0
7/29/2014 22:18,United States,Health Professional,45-54,Female,Direct,4,0,0
7/30/2014 10:43,United States,Health Professional,45-54,Female,Direct,10,0,0
8/5/2014 19:00,United States,Health Professional,45-54,Female,Direct,9,0,0
8/8/2014 9:50,Ireland,Health Professional,45-54,Female,Direct,12,0,0
8/12/2014 0:06,United States,Health Professional,45-54,Female,Direct,10,1,61.72
8/13/2014 8:59,United States,Health Professional,45-54,Female,Direct,8,0,0
8/13/2014 10:17,United States,Health Professional,45-54,Female,Direct,11,0,0
8/13/2014 11:25,United States,Health Professional,45-54,Female,Direct,4,0,0
8/13/2014 15:05,United States,Health Professional,45-54,Female,Direct,1,0,0
8/26/2014 16:44,United States,Health Professional,45-54,Female,Direct,3,0,0
8/27/2014 17:02,United States,Health Professional,45-54,Female,Direct,7,0,0
9/2/2014 15:51,New Zealand,Health Professional,45-54,Female,Direct,3,0,0
9/2/2014 17:12,United States,Health Professional,45-54,Female,Direct,5,0,0
8/13/2014 21:24,Puerto Rico,Health Professional,45-54,Female,Email,10,0,0
7/31/2014 1:08,United States,Health Professional,45-54,Female,Referred,9,0,0
8/15/2014 8:15,United States,Health Professional,45-54,Female,Self Referred,3,0,0
8/2/2014 9:25,United States,Health Professional,45-54,Female,Social,1,0,0
8/12/2014 22:03,United States,Health Professional,45-54,Female,Social,3,0,0
7/28/2014 21:35,United States,Health Professional,45-54,Female,Unbranded Search,12,0,0
8/2/2014 19:53,United States,Health Professional,45-54,Female,Unbranded Search,12,0,0
8/5/2014 9:16,United States,Health Professional,45-54,Female,Unbranded Search,6,0,0
8/7/2014 11:33,United States,Health Professional,45-54,Female,Unbranded Search,10,0,0
8/11/2014 22:26,United States,Health Professional,45-54,Female,Unbranded Search,3,0,0
8/15/2014 11:08,United States,Health Professional,45-54,Female,Unbranded Search,2,0,0
8/18/2014 20:25,United States,Health Professional,45-54,Female,Unbranded Search,4,0,0
8/19/2014 15:49,United States,Health Professional,45-54,Female,Unbranded Search,10,0,0
8/24/2014 12:16,United States,Health Professional,45-54,Female,Unbranded Search,3,0,0
8/27/2014 20:36,United States,Health Professional,45-54,Female,Unbranded Search,11,1,124.93
9/3/2014 12:24,United States,Health Professional,45-54,Female,Unbranded Search,11,0,0
9/3/2014 15:45,United States,Health Professional,45-54,Female,Unbranded Search,5,0,0
9/3/2014 16:01,United States,Health Professional,45-54,Female,Unbranded Search,12,0,0
9/10/2014 13:47,United States,Health Professional,45-54,Female,Unbranded Search,3,0,0
9/10/2014 16:55,United States,Health Professional,45-54,Female,Unbranded Search,12,0,0
7/26/2014 5:07,Kuwait,Health Professional,55-64,Female,Direct,12,0,0
7/29/2014 0:13,United States,Health Professional,55-64,Female,Direct,2,0,0
7/29/2014 13:47,United States,Health Professional,55-64,Female,Direct,2,0,0
7/29/2014 23:00,United States,Health Professional,55-64,Female,Direct,8,0,0
7/30/2014 9:36,United States,Health Professional,55-64,Female,Direct,2,0,0
7/31/2014 13:45,United States,Health Professional,55-64,Female,Direct,3,0,0
8/4/2014 20:10,United States,Health Professional,55-64,Female,Direct,7,0,0
8/13/2014 8:09,United States,Health Professional,55-64,Female,Direct,2,0,0
8/13/2014 18:15,United States,Health Professional,55-64,Female,Direct,3,0,0
8/18/2014 11:43,United States,Health Professional,55-64,Female,Direct,4,0,0
8/22/2014 19:18,United States,Health Professional,55-64,Female,Direct,4,0,0
8/25/2014 16:44,United States,Health Professional,55-64,Female,Direct,3,0,0
9/2/2014 19:48,United States,Health Professional,55-64,Female,Direct,7,0,0
9/4/2014 17:13,United States,Health Professional,55-64,Female,Direct,3,0,0
9/6/2014 14:06,United States,Health Professional,55-64,Female,Direct,11,1,62.5
9/8/2014 18:40,United States,Health Professional,55-64,Female,Direct,12,0,0
9/8/2014 23:32,United States,Health Professional,55-64,Female,Direct,5,0,0
9/10/2014 19:07,United States,Health Professional,55-64,Female,Direct,5,0,0
8/19/2014 8:48,United States,Health Professional,55-64,Female,Referred,1,0,0
8/14/2014 14:16,United States,Health Professional,55-64,Female,Social,3,0,0
8/15/2014 19:27,United States,Health Professional,55-64,Female,Social,2,0,0
8/10/2014 17:14,United States,Health Professional,55-64,Female,Unbranded Search,10,0,0
8/18/2014 19:09,Panama,Health Professional,55-64,Female,Unbranded Search,6,0,0
8/20/2014 7:21,United States,Health Professional,55-64,Female,Unbranded Search,6,0,0
8/20/2014 17:01,United States,Health Professional,55-64,Female,Unbranded Search,5,0,0
8/22/2014 15:07,United States,Health Professional,55-64,Female,Unbranded Search,12,0,0
9/5/2014 16:37,United States,Health Professional,55-64,Female,Unbranded Search,7,0,0
9/6/2014 8:35,United States,Health Professional,55-64,Female,Unbranded Search,3,0,0
8/1/2014 12:06,United States,Health Professional,65 or older,Female,Direct,11,1,112.47
8/5/2014 10:56,United States,Health Professional,65 or older,Female,Unbranded Search,8,0,0
9/4/2014 13:56,United States,Health Professional,65 or older,Female,Unbranded Search,3,0,0
9/9/2014 6:50,United Arab Emirates,Health Professional,Less than 18,Female,Direct,2,0,0
9/4/2014 6:36,United States,Health Professional,25-34,Female,Unbranded Search,4,0,0
8/27/2014 13:18,United States,Health Professional,55-64,Female,Unbranded Search,4,0,0
8/1/2014 14:21,United States,Health Professional,25-34,Male,Direct,10,0,0
9/1/2014 13:42,United States,Health Professional,35-44,Male,Unbranded Search,10,0,0
8/28/2014 19:49,United Kingdom,Health Professional,45-54,Male,Unbranded Search,3,0,0
8/25/2014 13:26,United States,Health Professional,25-34,Female,Direct,1,0,0
9/10/2014 19:49,United States,Health Professional,35-44,Female,Direct,2,0,0
8/25/2014 10:28,Malaysia,Health Professional,35-44,Female,Self Referred,10,0,0
9/3/2014 13:02,United States,Health Professional,18-24,Female,Unbranded Search,2,0,0
9/10/2014 22:32,United States,Health Professional,35-44,,Direct,2,0,0
8/19/2014 14:17,United States,Health Professional,18-24,,Branded Search,3,0,0
8/3/2014 13:17,United States,Health Professional,25-34,,Branded Search,11,0,0
8/8/2014 13:41,United States,Health Professional,35-44,,Branded Search,6,0,0
8/19/2014 15:21,United States,Health Professional,45-54,,Branded Search,8,0,0
8/21/2014 9:21,United States,Health Professional,55-64,,Branded Search,4,0,0
8/22/2014 11:43,United States,Health Professional,18-24,,Branded Search,3,0,0
8/27/2014 11:12,United States,Health Professional,25-34,,Branded Search,5,0,0
9/2/2014 12:47,United States,Health Professional,35-44,,Branded Search,12,0,0
9/2/2014 17:12,United States,Health Professional,45-54,,Branded Search,5,0,0
9/4/2014 14:46,Canada,Health Professional,55-64,,Branded Search,4,0,0
9/8/2014 11:02,United States,Health Professional,18-24,,Branded Search,11,0,0
9/9/2014 14:30,United States,Health Professional,25-34,,Branded Search,10,0,0
7/29/2014 16:09,United States,Health Professional,18-24,,Direct,5,0,0
7/29/2014 22:05,United States,Health Professional,25-34,,Direct,11,0,0
7/30/2014 14:43,United States,Health Professional,35-44,,Direct,2,0,0
7/30/2014 17:21,United States,Health Professional,45-54,,Direct,1,0,0
7/30/2014 20:34,United States,Health Professional,55-64,,Direct,7,0,0
7/30/2014 21:35,United States,Health Professional,18-24,,Direct,11,0,0
7/31/2014 15:45,United States,Health Professional,25-34,,Direct,1,0,0
8/3/2014 17:12,United States,Health Professional,35-44,,Direct,12,0,0
8/7/2014 12:02,United States,Health Professional,45-54,,Direct,3,0,0
8/9/2014 21:27,Nigeria,Health Professional,55-64,,Direct,2,0,0
8/13/2014 14:01,United States,Health Professional,18-24,,Direct,3,0,0
8/13/2014 15:36,United States,Health Professional,25-34,,Direct,2,0,0
8/14/2014 16:00,United States,Health Professional,35-44,,Direct,2,0,0
8/14/2014 21:25,United States,Health Professional,45-54,,Direct,3,0,0
8/17/2014 20:00,United States,Health Professional,55-64,,Direct,4,0,0
8/18/2014 21:36,United States,Health Professional,18-24,,Direct,10,0,0
8/19/2014 1:38,Australia,Health Professional,25-34,,Direct,1,0,0
8/22/2014 7:27,United States,Health Professional,35-44,,Direct,2,0,0
8/25/2014 15:09,United States,Health Professional,45-54,,Direct,8,0,0
8/26/2014 5:27,Denmark,Health Professional,55-64,,Direct,9,0,0
8/26/2014 10:30,United States,Health Professional,18-24,,Direct,5,0,0
9/3/2014 23:00,United States,Health Professional,25-34,,Direct,1,0,0
9/6/2014 11:44,Mexico,Health Professional,35-44,,Direct,3,0,0
9/7/2014 13:35,Brazil,Health Professional,45-54,,Direct,10,0,0
9/8/2014 14:45,United States,Health Professional,55-64,,Direct,12,0,0
9/8/2014 15:46,United States,Health Professional,18-24,,Direct,11,0,0
9/8/2014 17:04,United States,Health Professional,25-34,,Direct,5,0,0
9/9/2014 12:43,United States,Health Professional,35-44,,Direct,10,0,0
9/9/2014 13:46,United States,Health Professional,45-54,,Direct,6,0,0
9/9/2014 14:47,United States,Health Professional,55-64,,Direct,1,0,0
9/10/2014 11:47,United States,Health Professional,18-24,,Direct,3,0,0
9/10/2014 18:02,United States,Health Professional,25-34,,Direct,5,0,0
9/11/2014 11:53,United States,Health Professional,35-44,,Direct,5,0,0
8/11/2014 21:23,United States,Health Professional,25-34,,Email,1,0,0
8/22/2014 21:09,Trinidad and Tobago,Health Professional,35-44,,Paid Search,11,0,0
8/4/2014 15:09,United States,Health Professional,55-64,,Referred,3,0,0
8/4/2014 20:53,United States,Health Professional,18-24,,Referred,3,0,0
8/5/2014 16:13,United States,Health Professional,25-34,,Referred,11,0,0
8/20/2014 22:53,United States,Health Professional,35-44,,Referred,3,0,0
8/30/2014 12:30,Slovenia,Health Professional,45-54,,Referred,3,0,0
9/3/2014 16:17,United States,Health Professional,55-64,,Referred,12,0,0
9/4/2014 8:57,United States,Health Professional,18-24,,Referred,4,0,0
9/5/2014 17:27,United States,Health Professional,25-34,,Referred,4,0,0
9/9/2014 18:50,United States,Health Professional,35-44,,Referred,2,0,0
7/29/2014 7:39,United States,Health Professional,35-44,,Self Referred,1,0,0
8/7/2014 16:53,Portugal,Health Professional,45-54,,Self Referred,2,0,0
8/11/2014 19:43,United States,Health Professional,55-64,,Self Referred,5,0,0
8/14/2014 22:07,United States,Health Professional,18-24,,Self Referred,4,0,0
8/27/2014 14:47,United States,Health Professional,25-34,,Self Referred,12,0,0
8/29/2014 15:55,Mexico,Health Professional,35-44,,Self Referred,11,0,0
9/5/2014 18:21,United States,Health Professional,45-54,,Self Referred,2,0,0
9/9/2014 14:21,United States,Health Professional,55-64,,Self Referred,1,0,0
9/10/2014 21:16,United States,Health Professional,18-24,,Self Referred,10,0,0
8/2/2014 5:46,United Kingdom,Health Professional,55-64,,Social,1,0,0
8/13/2014 21:00,United States,Health Professional,18-24,,Social,4,0,0
8/16/2014 11:53,Puerto Rico,Health Professional,25-34,,Social,3,0,0
8/16/2014 11:56,Puerto Rico,Health Professional,35-44,,Social,3,0,0
8/26/2014 23:09,United States,Health Professional,45-54,,Social,3,0,0
8/27/2014 11:49,United States,Health Professional,55-64,,Social,2,0,0
8/27/2014 23:16,United States,Health Professional,18-24,,Social,4,0,0
7/28/2014 15:01,United States,Health Professional,25-34,,Unbranded Search,4,0,0
7/28/2014 22:11,Canada,Health Professional,35-44,,Unbranded Search,11,0,0
7/29/2014 11:22,United States,Health Professional,45-54,,Unbranded Search,4,0,0
7/29/2014 14:19,United States,Health Professional,55-64,,Unbranded Search,2,0,0
7/30/2014 7:31,India,Health Professional,18-24,,Unbranded Search,3,0,0
7/30/2014 20:37,United States,Health Professional,25-34,,Unbranded Search,10,0,0
7/30/2014 20:37,United States,Health Professional,35-44,,Unbranded Search,6,0,0
7/31/2014 12:17,United States,Health Professional,45-54,,Unbranded Search,6,0,0
7/31/2014 17:04,United States,Health Professional,55-64,,Unbranded Search,12,0,0
8/4/2014 2:35,United States,Health Professional,18-24,,Unbranded Search,7,0,0
8/4/2014 15:42,United States,Health Professional,25-34,,Unbranded Search,11,0,0
8/5/2014 16:43,United States,Health Professional,35-44,,Unbranded Search,4,0,0
8/6/2014 13:32,United States,Health Professional,45-54,,Unbranded Search,10,0,0
8/6/2014 15:25,United States,Health Professional,55-64,,Unbranded Search,12,0,0
8/8/2014 14:40,United States,Health Professional,18-24,,Unbranded Search,6,0,0
8/8/2014 23:02,United States,Health Professional,25-34,,Unbranded Search,6,0,0
8/9/2014 22:05,United States,Health Professional,35-44,,Unbranded Search,11,0,0
8/11/2014 12:36,United States,Health Professional,45-54,,Unbranded Search,11,1,51.91
8/11/2014 13:35,United States,Health Professional,55-64,,Unbranded Search,2,0,0
8/11/2014 14:05,United States,Health Professional,18-24,,Unbranded Search,4,0,0
8/11/2014 15:20,Canada,Health Professional,25-34,,Unbranded Search,2,0,0
8/11/2014 15:30,United States,Health Professional,35-44,,Unbranded Search,8,0,0
8/11/2014 18:34,United States,Health Professional,45-54,,Unbranded Search,4,0,0
8/12/2014 22:44,United States,Health Professional,55-64,,Unbranded Search,10,0,0
8/13/2014 9:24,United States,Health Professional,18-24,,Unbranded Search,7,0,0
8/13/2014 15:08,Costa Rica,Health Professional,25-34,,Unbranded Search,4,0,0
8/14/2014 13:14,United States,Health Professional,35-44,,Unbranded Search,6,0,0
8/15/2014 15:00,United States,Health Professional,45-54,,Unbranded Search,5,0,0
8/16/2014 22:30,United States,Health Professional,55-64,,Unbranded Search,12,0,0
8/17/2014 22:47,United States,Health Professional,18-24,,Unbranded Search,8,0,0
8/17/2014 23:19,United States,Health Professional,25-34,,Unbranded Search,3,0,0
8/18/2014 19:06,United States,Health Professional,35-44,,Unbranded Search,5,0,0
8/19/2014 5:30,Singapore,Health Professional,45-54,,Unbranded Search,4,0,0
8/19/2014 13:26,United States,Health Professional,55-64,,Unbranded Search,11,0,0
8/19/2014 14:33,United States,Health Professional,18-24,,Unbranded Search,4,0,0
8/19/2014 15:04,United States,Health Professional,25-34,,Unbranded Search,9,0,0
8/19/2014 21:10,United States,Health Professional,35-44,,Unbranded Search,8,0,0
8/19/2014 22:13,United States,Health Professional,45-54,,Unbranded Search,3,0,0
8/20/2014 18:19,United States,Health Professional,55-64,,Unbranded Search,10,0,0
8/20/2014 23:22,United States,Health Professional,18-24,,Unbranded Search,11,0,0
8/22/2014 13:49,United States,Health Professional,25-34,,Unbranded Search,3,0,0
8/22/2014 14:22,United States,Health Professional,35-44,,Unbranded Search,4,0,0
8/24/2014 17:12,United States,Health Professional,45-54,,Unbranded Search,9,0,0
8/24/2014 21:32,United States,Health Professional,55-64,,Unbranded Search,8,0,0
8/25/2014 18:04,United States,Health Professional,18-24,,Unbranded Search,5,0,0
8/26/2014 2:47,United States,Health Professional,25-34,,Unbranded Search,12,0,0
8/26/2014 6:31,United States,Health Professional,35-44,,Unbranded Search,11,0,0
8/26/2014 17:27,Canada,Health Professional,45-54,,Unbranded Search,1,0,0
8/27/2014 20:20,United States,Health Professional,18-24,,Unbranded Search,9,0,0
8/28/2014 9:17,United States,Health Professional,25-34,,Unbranded Search,11,0,0
8/28/2014 15:35,United States,Health Professional,35-44,,Unbranded Search,10,0,0
8/29/2014 8:32,United States,Health Professional,45-54,,Unbranded Search,5,0,0
8/29/2014 10:50,United States,Health Professional,55-64,,Unbranded Search,1,0,0
8/29/2014 22:11,United States,Health Professional,18-24,,Unbranded Search,12,0,0
9/2/2014 11:16,United States,Health Professional,25-34,,Unbranded Search,2,0,0
9/2/2014 14:19,United States,Health Professional,35-44,,Unbranded Search,12,0,0
9/3/2014 1:02,United States,Health Professional,45-54,,Unbranded Search,11,0,0
9/3/2014 21:08,United States,Health Professional,55-64,,Unbranded Search,5,0,0
9/4/2014 12:44,United States,Health Professional,18-24,,Unbranded Search,4,0,0
9/5/2014 12:29,United States,Health Professional,25-34,,Unbranded Search,8,0,0
9/5/2014 14:41,United States,Health Professional,35-44,,Unbranded Search,4,0,0
9/5/2014 16:04,United States,Health Professional,45-54,,Unbranded Search,3,0,0
9/5/2014 16:56,United States,Health Professional,55-64,,Unbranded Search,6,0,0
9/7/2014 19:38,United States,Health Professional,18-24,,Unbranded Search,3,0,0
9/9/2014 9:57,United States,Health Professional,25-34,,Unbranded Search,4,0,0
9/9/2014 16:09,United States,Health Professional,35-44,,Unbranded Search,1,0,0
9/9/2014 16:59,United States,Health Professional,45-54,,Unbranded Search,10,0,0
9/9/2014 18:23,United States,Health Professional,55-64,,Unbranded Search,8,0,0
9/9/2014 20:15,United States,Health Professional,18-24,,Unbranded Search,10,0,0
9/10/2014 17:09,United States,Health Professional,25-34,,Unbranded Search,5,1,111.05
9/10/2014 17:15,United States,Health Professional,35-44,,Unbranded Search,2,0,0
8/5/2014 19:21,United States,Other,18-24,Female,Branded Search,11,0,0
8/9/2014 1:19,United States,Other,18-24,Female,Direct,6,0,0
8/18/2014 6:18,Thailand,Other,18-24,Female,Unbranded Search,11,0,0
8/22/2014 11:21,United States,Other,25-34,Female,Direct,1,0,0
7/31/2014 18:51,United States,Other,25-34,Female,Unbranded Search,7,0,0
8/12/2014 15:00,United States,Other,25-34,Female,Unbranded Search,4,0,0
8/13/2014 10:01,United States,Other,25-34,Female,Unbranded Search,4,0,0
9/1/2014 19:07,United States,Other,25-34,Female,Unbranded Search,3,0,0
7/30/2014 2:02,United States,Other,35-44,Female,Direct,6,0,0
8/13/2014 21:01,United States,Other,35-44,Female,Direct,6,0,0
8/14/2014 15:08,United States,Other,35-44,Female,Direct,3,0,0
8/20/2014 8:50,Australia,Other,35-44,Female,Direct,11,0,0
9/3/2014 10:21,United States,Other,35-44,Female,Direct,6,0,0
7/28/2014 9:51,United States,Other,35-44,Female,Social,8,0,0
8/5/2014 8:11,United States,Other,35-44,Female,Unbranded Search,5,0,0
8/6/2014 14:08,United States,Other,35-44,Female,Unbranded Search,2,0,0
8/10/2014 11:26,United States,Other,35-44,Female,Unbranded Search,12,0,0
8/22/2014 17:06,Canada,Other,35-44,Female,Unbranded Search,10,0,0
8/25/2014 2:52,Canada,Other,35-44,Female,Unbranded Search,5,0,0
8/29/2014 19:40,Canada,Other,35-44,Female,Unbranded Search,4,0,0
7/29/2014 15:43,United States,Other,45-54,Female,Branded Search,5,1,54.53
8/1/2014 15:30,United States,Other,45-54,Female,Branded Search,3,0,0
7/29/2014 20:18,United States,Other,45-54,Female,Direct,7,0,0
8/8/2014 9:38,United States,Other,45-54,Female,Direct,4,0,0
9/3/2014 18:05,United States,Other,45-54,Female,Direct,8,0,0
8/5/2014 21:59,United States,Other,45-54,Female,Social,5,0,0
8/5/2014 14:05,United States,Other,45-54,Female,Unbranded Search,12,1,104.77
8/25/2014 20:37,Canada,Other,45-54,Female,Unbranded Search,12,0,0
8/28/2014 15:20,United States,Other,45-54,Female,Unbranded Search,2,0,0
9/4/2014 11:49,United States,Other,45-54,Female,Unbranded Search,10,0,0
9/10/2014 19:44,Canada,Other,45-54,Female,Unbranded Search,5,0,0
7/31/2014 15:09,United States,Other,55-64,Female,Direct,10,0,0
8/11/2014 0:47,United States,Other,55-64,Female,Direct,1,0,0
9/2/2014 15:59,United States,Other,55-64,Female,Direct,5,0,0
7/30/2014 13:59,United States,Other,55-64,Female,Unbranded Search,4,0,0
8/20/2014 14:17,United States,Other,55-64,Female,Unbranded Search,9,0,0
8/20/2014 9:53,United States,Other,65 or older,Female,Direct,2,0,0
8/27/2014 23:13,United States,Other,65 or older,Female,Direct,3,0,0
8/22/2014 22:43,United States,Other,65 or older,Female,Referred,5,0,0
8/6/2014 11:59,United States,Other,65 or older,Female,Social,1,0,0
9/8/2014 17:35,United States,Other,Less than 18,Female,Social,1,0,0
9/2/2014 4:21,Italy,Other,18-24,Male,Unbranded Search,2,0,0
8/6/2014 13:24,United States,Other,55-64,Male,Referred,6,1,99.61
9/4/2014 12:04,United States,Other,45-54,Female,Direct,11,0,0
8/5/2014 7:27,United States,Other,35-44,Female,Unbranded Search,10,0,0
8/4/2014 11:21,United States,Other,35-44,,Branded Search,3,0,0
8/5/2014 13:06,United States,Other,45-54,,Branded Search,2,0,0
8/11/2014 14:02,United States,Other,55-64,,Branded Search,5,0,0
8/28/2014 8:13,United States,Other,18-24,,Branded Search,2,1,129.9
8/28/2014 23:05,United States,Other,25-34,,Branded Search,4,0,0
7/29/2014 13:48,United States,Other,45-54,,Direct,5,0,0
7/29/2014 18:44,Canada,Other,55-64,,Direct,3,0,0
7/30/2014 12:38,United States,Other,18-24,,Direct,1,0,0
8/4/2014 17:38,United States,Other,25-34,,Direct,2,0,0
8/6/2014 17:28,United States,Other,35-44,,Direct,2,0,0
8/12/2014 10:23,United States,Other,45-54,,Direct,10,1,57.28
8/15/2014 9:39,United States,Other,55-64,,Direct,1,0,0
8/16/2014 17:17,United States,Other,18-24,,Direct,4,0,0
8/19/2014 8:12,United States,Other,25-34,,Direct,3,0,0
8/20/2014 15:23,United States,Other,35-44,,Direct,9,0,0
8/25/2014 20:41,United States,Other,45-54,,Direct,3,0,0
8/25/2014 23:54,United States,Other,55-64,,Direct,3,0,0
8/27/2014 20:29,United States,Other,18-24,,Direct,4,0,0
9/8/2014 13:10,United States,Other,25-34,,Direct,6,0,0
9/10/2014 10:50,United States,Other,35-44,,Direct,9,0,0
9/10/2014 11:51,United States,Other,45-54,,Direct,3,0,0
